username,reviewDate,myCoding,,reviewText,rating
Pitbull2000,6/22/18,Fidelity,RM,All issues are fixed. Needs wind chill alerts though.,4
kids vlogs,6/20/18,Interaction,,When I add locations it tells me the warning for that area or you can see it to do 100mile raidous and other!!!,5
baqak,6/17/18,Awareness,,We have had two major thunderstorms today that. Plus have potentially had tornados but no alerts. When I look it says all is well? The first storm was passed before an alert came and the second storm came an hour after the storm alert was overð¤¦ââï¸Doesn't make me feel safe!,1
mAIRijuana,7/3/18,Fidelity,RM,"Looking for an app that can tell me realtime if anything is happening in the Azores Islands as I have a good deal of family there, as well as my fathers childhood home right on the coast of Sao LourenÃ§o ... my fear has always been with hurricanes & tropical storms, tsunami, & volcanic activity ; & so I was referred to this app. Imagine my confusion, being told there was no results to my search while trying to add ""Azores Islands"" as a location to monitor ... they seem to include Madeira on the map, but no Azores... & everytime I tried to add a city in Portugal or Madeira (Lisbon, for example) it would give me Lisbon New York USA & all related search terms IN THE US -- & wouldn't allow me to monitor any part or portion of Portugal!!! What the heck?!! This app is pointless. I know all too much what's happening in the US, it's being shoved in my face from every direction; what I was looking for was information on THE WORLDS HAPPENINGS we don't hear about normally. Plz resolve this silly flaw",1
Dreadpirate Patty,8/12/18,Fidelity,RM,I have set a radius of FOUR miles from my home and still get alerts for flash floods over 100 miles from my home. All other alerts seem appropriate. Handy to have but annoying to be alerted multiple times within an hour with irrelevant alerts.,3
MPOC25,8/6/18,Fidelity,RM,The Red Cross App told me that my area if Orange County CA is under an immediate evacuation order when it is not.  The closest area being evacuated is almost 18 miles from me.  App removed.  Local news is much better.Red Cross can do better!,1
Flyboyzwife,7/29/18,Awareness,STM,"We were put under mandatory evacuation at 12:34pm, this app did not alert me until 7:45pm and didn't even cover Lakeport where I live... the place I put in to be alerted for!!! This app is a failure.... I will never trust it or recommend to anyone.",1
dustydisc,7/26/18,Fidelity,RM,This app is awful. It always shows the my location way off. Most alerts dont apply to my area.,1
Planejuliet,7/15/18,Interaction,,"This app sounds terrific, and time will tell. Had an issue when adding locations via zip code. (I.e. zip code for Goode VA came up as some place in a totally different state). So gave up and just input actual town names. That worked well. I'll come back and review again once it' been tested.",3
Rpgustavson,7/13/18,Fidelity,RM,"Flash flood/thunderstorm warnings affect areas 50+ miles away. Too many ""false"" warnings, often followed almost immediately by cancellation. Am in eastern Los Angeles county.",3
Too Much Man,7/3/18,Interaction,GDM,"Sends 3 identical alert simultaneously. Same alert, same time tag.",3
Pax17063,6/27/18,Interaction,RM,"This app just solicited me to donate blood, out of the blue. There' no current local emergency or anything. I immediately disabled notifications but that really limits the usefulness of the app.Don't abuse your notification privileges, devs!! :(",1
The 77th Doctor,6/27/18,Interaction,RM,"I don't want stats about blood & being asked for blood. I Cary a medical directive saying ""no blood"" so I won't take it or give it. I've gotten multiple pop up notifications, thumbs down.",1
Addibiz22,6/26/18,Fidelity,RM,"This app is really cool! It helps me track weather, know where storms and tornadoes are, know where my friends and family are during storms, etc.! Thank you for this app, keep up the good work!",5
heh41,6/24/18,Interaction,GDM,"Far too many alerts one right after the other.  Especially when an alert is going to be cancelled.  Just got the same alert cancellation 3-4 times in the last hour.  Enough, already!",3
MACIntyre61,6/24/18,Fidelity,timeliness,"What' the use of having an emergency alert app if it doesn't give you the alert until the NEXT DAY? And it only alerts AFTER the weather app I have on my phone has already given the alert, like 20 minutes after?",1
jkv5,8/22/18,Fidelity,STM,Over all this works fine but I don't need a alert to tell me the alert as expired or a alert that tells me the storm that caused the alert has moved on or a alert that tell me a severe rain storm is going to cause flash flood.Within 30 min I received 7 alerts about the status of the same storm cell. So frequent I disabled the alerts ....... so a program to alert that the alerts are disabled ...... see the problem?,2
Oh boy 123,8/18/18,NA,,I think this is a great application because it is a great idea. Can you be refined? Yes absolutely but in the meantime it' great to have it. A must have for all.,5
Tom(tation),9/15/18,Fidelity,,A comprehensive variety of Red Cross information with no superfluous data to detract from its goals.,5
ywycoco,9/11/18,Fidelity,,"I think there should only be alerts for each island of Hawaii, or maybe just Central, East, West, etc. I get way too many duplicate alerts for each ""neighborhood"" on Oahu - it's kind of ridiculous.",3
Miketsd,9/20/18,Interaction,,Information available on other apps. Download this if you want emergency alerts that are fund raising solicitations. Will delete this app.,1
CA water,10/4/18,Interaction,,This app notifies you of everything! I set it to only warnings with in 1 mile of my home yet it gives me the whole county & the only time I need that information is if I'm traveling. I just Got a Vegas center report for Barstow and while I do live in SB county I live 87 miles away on the other side of the Cajon pass. I also get Vidal junction notifications out of Phoenix and I do travel that way to Az a few times a yr. Vidal junction is 175 miles away.,1
LCraigRN,10/10/18,Interaction,,"The alert comes in, then the app crashes! I have no idea what the alert is or where the weather issue is.",1
TallTrailRunner,10/15/18,Interaction,,This app just ask for donations  I already get asked 12 times a day for donations I don't need a 13th,1
Una Happy,10/15/18,Interaction,,"Sends so called emergency alerts but when you open it... it' simply a fund raising request to help ""those in need"". Don't need more spam in my life.",1
RustyLady,10/15/18,Awareness,,I've had this app for at least a year and I'm highly satisfied with the alerts I get from each area of the USA. I have family in several states and I'm able to know what' happening at each area.,5
Jtown9-11,10/29/18,Awareness,,The app doesn't follow the user settings. It' giving me information about a tornado alert more than 50 miles away that doesn't even impact my direct area in anyway shape or form. Being in the fire service I rely on quality data to be able to make decisions in this app is definitely not up to par I would not recommend it,1
ShadierSky,10/22/18,Awareness,,Works well did not even know we had a threat coming and I got the alert quick!,5
KateofSpades59,11/11/18,Awareness,,"Thank you for creating an app that gives tips on how to prepare for disasters, how to respond during disasters, and how to keep up to date if loved ones are safe.",5
Mojavegreen1,11/22/18,NA,,Yep. As the title states....,2
j223b123,11/22/18,Awareness,,We live in a very rural area and this app work well for what we needed.. keeps up to date on weather changes and our family locations and more .. good app .. easy on the battery too..,4
Dhbsgvsyccftgfdtcdtc,11/28/18,Interaction,,Works good,5
Lenny3200,12/6/18,Interaction,,Always says it can't connect due to internet problems. My internet is fine. I'm writing this review to prove it. This app has never worked for me. Always produces errors.,1
Mojavegreen1,12/6/18,Interaction,,"Very bad. I had hoped this crash issue would have been resolved, unfortunately it keeps crashing when you access the alerts.",1
Mick Gator Fan,12/21/18,Fidelity,,"Alerts have two problems.1.  When I use ""current location"", I get alerts for events, including tornados, that are 70 miles away.  Not very useful, so I removed the ""current location"" setting.2.  My iPhone started shrieking, while I was driving, about a tornado warning - but the alert arrived 30 minutes after the alert was issued.  It' not easy to turn it off while driving, so I turned ""Sounds"" off because the alert often arrives too late to be useful anyway.",1
